Rank,Title,Director,Tagline,Overview,Runtime,Genres,Release Year,Cast,Rating
5802,My Neighbors the Yamadas,Isao Takahata,The safety of family is the wish of the world.,"The Yamadas are a typical middle class Japanese family in urban Tokyo and this film shows us a variety of episodes of their lives. With tales that range from the humorous to the heartbreaking, we see this family cope with life's little conflicts, problems, and joys in their own way.",104,"Animation, Family",1999,"Hayato Isohata, Masako Araki, Naomi Uno, Toru Masuoka, Yukiji Asaoka, Akiko Yano, Kosanji Yanagiya, Tamao Nakamura, Chōchō Miyako",6.967
5803,Werewolf: The Beast Among Us,Louis Morneau,,"Set in a 19th century village, a young man studying under a local doctor joins a team of hunters on the trail of a wolf-like creature.",93,"Drama, Horror, Thriller",2012,"Ed Quinn, Guy Wilson, Stephen Rea, Rachel DiPillo, Adam Croasdell, Ana Ularu, Steven Bauer, Nia Peeples, Zoltan Butuc, Razvan Gheorghiu, Iulia Cârstea",5.901
5804,Dear John,Lasse Hallström,Love brought them together. Will fate tear them apart?,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",108,"Drama, Romance, War",2010,"Amanda Seyfried, Channing Tatum, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith D. Robinson, Scott Porter, Leslea Fisher, David Andrews",6.834
5805,Everly,Joe Lynch,Enter if you dare.,"After she betrays a powerful mob boss, a woman matches wits and weaponry with a legion of killers who are out to collect the bounty on the heads of her and her family.",93,"Thriller, Action",2014,"Salma Hayek Pinault, Hiroyuki Watanabe, Laura Cepeda, Togo Igawa, Akie Kotabe, Gabriella Wright, Caroline Chikezie, Jennifer Blanc, Jelena Gavrilović, Aisha Ayamah, Masashi Fujimoto, Uroš Ćertić",5.492
5806,Fullmetal Alchemist the Movie: Conqueror of Shamballa,Seiji Mizushima,,"Munich, Germany, 1923. Two years have passed since Edward Elric was dragged from his own world to ours, leaving behind his country, his friends and his younger brother, Alphonse. Stripped of his alchemical powers, he has been all this time researching rocketry together with Alphonse Heiderich, a young man who resembles his own brother, hoping to one day find a way back home. His efforts so far had proven fruitless, but after lending a hand to a troubled gipsy girl, Edward is thrown in a series of events that can wreak havoc in both worlds. Meanwhile, at his own world, Alphonse Elric ventures deeper into the mysteries of alchemy in search for a way to reunite with his older brother.",105,"Action, Adventure, Animation, Drama",2005,"Romi Park, Rie Kugimiya, Toru Okawa, Megumi Toyoguchi, Miyu Sawai, Michiko Neya, Kazuko Kato, Hidekatsu Shibata, Masane Tsukayama, Rikiya Koyama, Mayumi Yamaguchi, Nana Mizuki",7.218
5807,Menace II Society,"Albert Hughes, Allen Hughes",This is the truth. This is what's real.,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,97,"Drama, Crime",1993,"Tyrin Turner, Larenz Tate, Glenn Plummer, Jada Pinkett Smith, Samuel L. Jackson, June Kyoto Lu, Toshi Toda, Reginald Ballard, Khandi Alexander, Jullian Roy Doster, Brandon Hammond, Eugene Lee",7.5
5808,Dreamgirls,Bill Condon,All you have to do is dream.,"A trio of female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",134,"Drama, Music",2006,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover, Jennifer Hudson, Anika Noni Rose, Keith D. Robinson, Sharon Leal, Hinton Battle, Mariah Iman Wilson, Yvette Cason, Ken Page",6.8
5809,Notorious,Alfred Hitchcock,Deep their love! Great the risk!,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.",103,"Thriller, Romance, Mystery",1946,"Cary Grant, Ingrid Bergman, Claude Rains, Leopoldine Konstantin, Louis Calhern, Alex Minotis, Reinhold Schünzel, Ivan Triesault, Friedrich von Ledebur, Peter von Zerneck, Eberhard Krumschmidt, Moroni Olsen",7.757
5810,Murder at 1600,Dwight H. Little,This address changes all the rules.,"A secretary is found dead in a White House bathroom during an international crisis, and Detective Harlan Regis is in charge of the investigation. Despite resistance from the Secret Service, Regis partners with agent Nina Chance. As political tensions rise, they learn that the crime could be part of an elaborate cover-up. Framed as traitors, the pair, plus Regis' partner, break into the White House in order to expose the true culprit.",107,"Action, Drama, Mystery, Thriller, Crime",1997,"Wesley Snipes, Diane Lane, Daniel Benzali, Dennis Miller, Alan Alda, Ronny Cox, Tate Donovan, Tom Wright, Harris Yulin, Diane Baker, Nicholas Pryor, Charles Rocket",6.072
5811,Quiz Lady,Jessica Yu,Two sisters. One destiny.,"A brilliant but tightly wound, gameshow-obsessed young woman, Anne, and her estranged, train-wreck of a sister Jenny, must work together to help cover their mother’s gambling debts. When Anne’s beloved dog is kidnapped, they set out on a wild, cross-country trek to get the cash the only way they know how: by turning Anne into a bona-fide gameshow champion.",100,Comedy,2023,"Awkwafina, Sandra Oh, Will Ferrell, Holland Taylor, Jason Schwartzman, Tony Hale, Tawny Newsome, Paul Reubens, Jonathan Park, Camrus Johnson, Angela Trimbur, Justiin A. Davis",6.759
5812,Fighting with My Family,Stephen Merchant,A comedy about a family that fights a little differently.,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",108,Comedy,2019,"Florence Pugh, Lena Headey, Nick Frost, Vince Vaughn, Jack Lowden, Dwayne Johnson, Thea Trinidad, Aqueela Zoll, Stephen Merchant, Julia Davis, James Burrows, Hannah Rae",6.864
5813,Bowfinger,Frank Oz,The con is on.,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture.",97,Comedy,1999,"Steve Martin, Eddie Murphy, Heather Graham, Christine Baranski, Jamie Kennedy, Barry Newman, Adam Alexi-Malle, Kohl Sudduth, Terence Stamp, Robert Downey Jr., Alejandro Patiño, Alfred De Contreras",6.172
5814,Hubie Halloween,Steven Brill,Fear. Less.,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",103,"Comedy, Mystery, Horror",2020,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Rob Schneider, Maya Rudolph, Tim Meadows, Michael Chiklis, June Squibb, George Wallace, Kenan Thompson",5.94
5815,Ugetsu,Kenji Mizoguchi,,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",96,"Fantasy, Drama, Mystery",1953,"Machiko Kyō, Mitsuko Mito, Kinuyo Tanaka, Masayuki Mori, Eitarō Ozawa, Sugisaku Aoyama, Mitsusaburō Ramon, Ryōsuke Kagawa, Kichijirō Ueda, Shōzō Nanbu, Kikue Mōri, Ryūzaburō Mitsuoka",7.963
5816,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,Katsushi Sakurabi,,"In the city of Orario, beneath an impossibly tall tower, lies the dungeon. Only adventurers who form partnerships with the gods themselves have any hope of defeating the monsters that lie within. But the dungeon is not the only place where monsters exist. Far from Orario, in the ruins of an ancient city, a new threat arises. To counter this threat, the goddess Artemis has come to Orario in search of a champion—but it’s not Ais Wallenstein (the legendary Sword Princess) nor Ottar (the strongest warrior to ever enter the dungeon) that she chooses. Rather it is Bell Cranel, a newbie adventurer partnered with a low-tier goddess.",82,"Animation, Action, Adventure, Comedy, Fantasy, Romance",2019,"Yoshitsugu Matsuoka, Inori Minase, Maaya Sakamoto, Saori Onishi, Maaya Uchida, Saori Hayami, Ai Kayano, Yoshimasa Hosoya, Soma Saito, Shizuka Ishigami, Juri Kimura, Yoko Hikasa",7.717
5817,The Astronaut's Wife,Rand Ravich,How well do you know the one you love?,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",109,"Drama, Science Fiction, Thriller",1999,"Johnny Depp, Charlize Theron, Joe Morton, Clea DuVall, Nick Cassavetes, Donna Murphy, Gary Grubbs, Blair Brown, Tom Noonan, Tom O'Brien, Lucy Lin, Michael Crider",5.584
5818,City Lights,Charlie Chaplin,True Blind Love,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",87,"Comedy, Romance, Drama",1931,"Charlie Chaplin, Virginia Cherrill, Harry Myers, Al Ernest Garcia, Hank Mann, Albert Austin, Eddie Baker, Henry Bergman, Buster Brodie, Jeanne Carpenter, Tom Dempsey, James Donnelly",8.289
5819,Shogun Assassin,"Robert Houston, Kenji Misumi",He whips out his sword and relieves his victims of their heads!!,A Shogun who grew paranoid as he became senile sent his ninjas to kill his samurai. They failed but did kill the samurai’s wife. The samurai swore to avenge the death of his wife and roams the countryside with his toddler son in search of vengeance.,85,Action,1980,"Tomisaburō Wakayama, Akihiro Tomikawa, Kayo Matsuo, Minoru Ōki, Shin Kishida, Shogen Nitta, Reiko Kasahara, Akiji Kobayashi, Taketoshi Naitō, Tokio Oki",6.9
5820,Sleepover,Joe Nussbaum,The rules are set. The game is on.,"As their first year of high school looms ahead, best friends Julie, Hannah, Yancy and Farrah have one last summer sleepover. Little do they know they're about to embark on the adventure of a lifetime. Desperate to shed their nerdy status, they take part in a night-long scavenger hunt that pits them against their popular archrivals. Everything under the sun goes on -- from taking Yancy's father's car to sneaking into nightclubs!",89,"Family, Comedy",2004,"Alexa PenaVega, Mika Boorem, Jane Lynch, Sam Huntington, Sara Paxton, Brie Larson, Scout Taylor-Compton, Douglas Smith, Steve Carell, Jeff Garlin, Sean Faris, Katija Pevec",5.97
5821,Madame,Amanda Sthers,Misbehavior is on the menu.,"Anne and Bob, a well-to-do American couple, have just moved to a beautiful manor house in romantic Paris. To impress their sophisticated friends, they decide to host a lavish dinner party, but must disguise their maid as a noblewoman to even out the number of guests. When the maid runs off with a wealthy guest, Anne must chase her around Paris to thwart the joyous and unexpected love affair.",91,"Romance, Comedy, Drama",2017,"Toni Collette, Harvey Keitel, Rossy de Palma, Michael Smiley, Tom Hughes, Violaine Gillibert, Stanislas Mehrar, Sue Cann, Ariane Séguillon, Beatrice Ecaterina Mujdei, Brendan Patricks, Tim Fellingham",5.918
5822,Working Girl,Mike Nichols,For anyone who's ever won. For anyone who's ever lost. And for everyone who's still in there trying.,"Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good.",114,"Comedy, Romance, Drama",1988,"Melanie Griffith, Harrison Ford, Sigourney Weaver, Alec Baldwin, Joan Cusack, Philip Bosco, Nora Dunn, Oliver Platt, James Lally, Kevin Spacey, Robert Easton, Olympia Dukakis",6.594
5823,Piglet's Big Movie,Francis Glebas,A tale you'll never forget.,"When the gang from the Hundred Acre Wood begin a honey harvest, young Piglet is excluded and told that he is too small to help. Feeling inferior, Piglet disappears and his pals Eeyore, Rabbit, Tigger, Roo and Winnie the Pooh must use Piglet's scrapbook as a map to find him. In the process they discover that this very small animal has been a big hero in a lot of ways.",75,"Animation, Family",2003,"John Fiedler, Jim Cummings, Nikita Hopkins, Ken Sansom, Peter Cullen, Kath Soucie, Andre Stojka, Tom Wheatley",6.67
5824,Love Is in the Air,Adrian Powers,,A fiercely independent pilot fighting to keep her family business afloat starts to fall for the man sent by corporate to ground her operation forever.,88,"Romance, Comedy",2023,"Delta Goodrem, Joshua Sasse, Roy Billing, Steph Tisdell, Simon McLachlan, Daniela Pizzirani, Mia Grunwald, Hugh Parker",6.2
5825,Bandidas,"Joachim Rønning, Espen Sandberg",Being bad never looked so good!,"Set in the late 19th century. When a ruthless robber baron takes away everything they cherish, a rough-and-tumble, idealistic peasant and a sophisticated heiress embark on a quest for justice, vengeance…and a few good heists.",93,"Action, Comedy, Western, Crime",2006,"Penélope Cruz, Salma Hayek Pinault, Steve Zahn, Dwight Yoakam, Denis Arndt, Sam Shepard, Edgar Vivar, Ismael 'East' Carlo, Ernesto Gómez Cruz, Ana Ofelia Murguía, Gary Carlos Cervantes, Audra Blaser",6.021
5826,The Taking of Tiger Mountain,Tsui Hark,,"Yang Zirong disguises himself as a bandit to infiltrate and destroy a bandit group. He joins hands with a hostage, and together, they fight against the warlord, Hawk.",141,"Thriller, War, Adventure",2014,"Zhang Hanyu, Tony Leung Ka-fai, Tong Liya, Lin Gengxin, Yu Nan, Han Geng, Tse Miu, Chen Xiao, Zha Ka, Xing Yu, Sun Jiaolong, Cheng Si-Han",6.533
5827,The Professionals,Richard Brooks,"Rough, tough and ready.",An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,117,"Western, Action, Adventure",1966,"Burt Lancaster, Lee Marvin, Robert Ryan, Woody Strode, Jack Palance, Claudia Cardinale, Ralph Bellamy, Joe De Santis, Rafael Bertrand, Jorge Martínez de Hoyos, Marie Gomez, José Chávez",7.1
5828,Passages,Ira Sachs,,"Tomas and Martin are a gay couple living in Paris whose marriage is thrown into crisis when Tomas impulsively begins a passionate affair with young schoolteacher Agathe. But when Martin begins an affair of his own, Tomas must confront life decisions he may be unprepared—or unwilling—to deal with.",92,"Romance, Drama",2023,"Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos, Erwan Kepoa Falé, Théo Cholbi, Arcadi Radeff, Léa Boublil, Thibault Carterot, Tony Daoud, Theo Gabilloux, Anton Salachas, Sarah Lisbonis",6.5
5829,The Alamo,John Wayne,The Mission That Became a Fortress! The Fortress That Became a Shrine!,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,202,"Western, War",1960,"John Wayne, Richard Widmark, Laurence Harvey, Frankie Avalon, Patrick Wayne, Linda Cristal, Joan O'Brien, Chill Wills, Joseph Calleia, Ken Curtis, Carlos Arruza, Jester Hairston",7.2
5830,Bros,Nicholas Stoller,A romantic comedy that gives you all the feels.,Two emotionally unavailable men attempt a relationship.,115,"Comedy, Romance",2022,"Billy Eichner, Luke Macfarlane, Guy Branum, Miss Lawrence, Ts Madison, Dot-Marie Jones, Jim Rash, Eve Lindley, Monica Raymund, Guillermo Díaz, Jai Rodriguez, Amanda Bearse",6.8
5831,The Green Inferno,Eli Roth,Fear will eat you alive.,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.",100,"Horror, Thriller, Adventure",2013,"Lorenza Izzo, Ariel Levy, Sky Ferreira, Ramón Llao, Daryl Sabara, Richard Burgi, Paz Bascuñan, Magda Apanowicz, Nicolás Martínez, Kirby Bliss Blanton, Matías López, Aaron Burns",5.704
5832,The Secret in Their Eyes,Juan José Campanella,An unsolved crime. A love story. An unwritten ending.,"Hoping to put to rest years of unease concerning a past case, retired criminal investigator Benjamín begins writing a novel based on the unsolved mystery of a newlywed’s rape and murder. With the help of a former colleague, judge Irene, he attempts to make sense of the past.",130,"Mystery, Thriller, Drama",2009,"Ricardo Darín, Soledad Villamil, Pablo Rago, Javier Godino, Guillermo Francella, Carla Quevedo, Bárbara Palladino, Alejandro Abelenda, Mario Alarcón, Rudy Romano, Mariano Argento, Sebastián Blanco",8.002
5833,Green Snake,Amp Wong,Dependence arises from the previous life.,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",131,"Animation, Fantasy, Action, Adventure",2021,"Xiaoxi Tang, Fuzheng Zhang, Chao Wei, Zhao Mingzhou, Zheng Xiaopu, Cheng Ma, Song Xuchen, Qiu Qiu, Kai Zhang, Xu Jiaqi, Shuai Guan, Zhang Biyu",8.226
5834,Tokyo Ghoul,Kentaro Hagiwara,Humans are no longer at the top of the food chain,"A Tokyo college student is attacked by a ghoul, a super-powered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",119,"Action, Drama, Thriller",2017,"Masataka Kubota, Yoshiko Sengen, Nobuyuki Suzuki, Yo Oizumi, Yu Aoi, Hiyori Sakurada, Kunio Murai, Kai Ogasawara, Shunya Shiraishi, Shoko Aida, Shuntaro Yanagi, Minosuke Bando",7.036
5835,You Do You,Cemal Alpan,,"Merve chose the bohemian life, but it didn't choose her back. Faced with eviction, she starts a new job and stumbles into a spicy setup with her boss.",99,"Comedy, Romance",2023,"Ahsen Eroğlu, Ozan Dolunay, Zuhal Olcay, Ferit Aktuğ, Esra Akkaya, Arif Pişkin, Mine Tugay, Ege Aydan, Burcu Türünz, Levent Meşe, Sibel Salihoğlu, Tolga Ilık",6.3
5836,Soul Surfer,Sean McNamara,"When you come back from a loss, beat the odds, and never say never, you find a champion.","The true story of teen surfer Bethany Hamilton, who lost her arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.",112,"Family, Drama",2011,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood, Kevin Sorbo, Ross Thomas, Chris Brochu, Lorraine Nicholson, Jeremy Sumpter, Sonya Balmores, Craig T. Nelson, Cody Gomes",7.039
5837,Pets United,Reinhard Klooss,,"When Roger (a Robin Hood-esque, stray dog) and Belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",89,"Animation, Family, Adventure, Comedy",2019,"Natalie Dormer, Eddie Marsan, Jeff Burrell, Harvey Friedman, Jan Odle, Bryan Larkin, Naomi McDonald, Tom Haywood, Andres Williams",5.824
5838,Trauma Center,Matt Eskandari,The enemy is closer than you think.,"Lt. Wakes is a vengeful police detective determined to solve the murders of his partner and an informant, and joins forces with a witness injured during the shootings. After the killers pursue the witness across the abandoned floor of a hospital, she confirms Wakes's worst fears.",87,"Action, Thriller",2019,"Nicky Whelan, Bruce Willis, Steve Guttenberg, Tito Ortiz, Texas Battle, Roman Mitichyan, Tyler Jon Olson, Catherine Davis, Sergio Rizzuto, Lala Kent, Lydia Styslinger, Jaime Irizarry",5.517
5839,Ice Twisters,Steven R. Monroe,Hell has frozen over,"Charlie Price, a former scientist turned science fiction author, starts living one of his novels when the Federal Science Foundation's weather experiments escape control and turn disastrous.",90,"Action, Science Fiction, TV Movie",2009,"Mark Moses, Camille Sullivan, Kaj-Erik Eriksen, Alex Zahara, Luisa d'Oliveira, Ryan Kennedy, Chelan Simmons, Robert Moloney, Dion Johnstone, Nicholas Carella, Ingrid Torrance, Jeremy Radick",5.955
5840,Once Upon a Crime,Yuichi Fukuda,,"While at the royal ball with Cinderella, Little Red Riding Hood finds herself in the middle of a mystery. Can she solve the case before midnight strikes?",105,"Fantasy, Comedy, Crime",2023,"Kanna Hashimoto, Yuko Araki, Takanori Iwata, Natsuna Watanabe, Yumi Wakatsuki, Mirei Kiritani, Tsuyoshi Muro, Masaki Kaji, Tomoharu Hasegawa, Atsuhiro Inukai, Mizuki Yamamoto, Midoriko Kimura",6.321
5841,Kate,Cedric Nicolas-Troyan,There's no time for mercy.,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,106,Action,2021,"Mary Elizabeth Winstead, Miku Martineau, Woody Harrelson, Tadanobu Asano, Jun Kunimura, MIYAVI, Michiel Huisman, Mari Yamamoto, Hirotaka Renge, Kazuya Tanabe, Cindy Sirinya Bishop, Amelia Crouch",6.652
5842,Safe Haven,Lasse Hallström,You know it when you find it,"A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",115,"Romance, Thriller",2013,"Julianne Hough, Josh Duhamel, Cobie Smulders, David Lyons, Mimi Kirkland, Noah Lomax, Irene Ziegler, Robin Mullins, Red West, Juan Piedrahita, Cullen Moss, Mike Pniewski",7.249
5843,14 and Under,Ernst Hofbauer,"Too young to know better, too old to say no!","This episodic film is a close relative of Wolf Hartwig's schoolgirl report movies, made by the same people, in a similar style, around similar topics. However, this one specifically focuses on the coming-of-age aspects, to an extent that it also touches on delicate issues such as paedophilia.",87,"Comedy, Romance",1973,"Harald Baerow, Ulrike Butz, Elke Deuringer, Sonja Embriz, Marisa Feldy, Rosl Mayr, Enzi Fuchs, Rinaldo Talamonti, Marlene Rahn, Erich Padalewski, Sonja Jeannine, Judith Fritsch",5.708
